interval_id,cluster_id,weight,inst_begin,inst_end,sim_id,sim_warmup,sim_inst,total_inst
66,5,0.0233769,6500000000,6700000000,0,100000000,200000000,1025041614468
323,12,0.0196444,32200000000,32400000000,1,100000000,200000000,1025041614468
358,1,0.0124742,35700000000,35900000000,2,100000000,200000000,1025041614468
413,28,0.0140458,41200000000,41400000000,3,100000000,200000000,1025041614468
1047,11,0.14419,104600000000,104800000000,4,100000000,200000000,1025041614468
2215,23,0.0205284,221400000000,221600000000,5,100000000,200000000,1025041614468
2531,6,0.0147333,253000000000,253200000000,6,100000000,200000000,1025041614468
4735,19,0.0156173,473400000000,473600000000,7,100000000,200000000,1025041614468
4790,29,0.0332973,478900000000,479100000000,8,100000000,200000000,1025041614468
5177,9,0.0211178,517600000000,517800000000,9,100000000,200000000,1025041614468
5299,2,0.0165995,529800000000,530000000000,10,100000000,200000000,1025041614468
5336,25,0.0668893,533500000000,533700000000,11,100000000,200000000,1025041614468
5344,15,0.0696395,534300000000,534500000000,12,100000000,200000000,1025041614468
5456,18,0.0617818,545500000000,545700000000,13,100000000,200000000,1025041614468
6343,27,0.0296631,634200000000,634400000000,14,100000000,200000000,1025041614468
6702,8,0.0377173,670100000000,670300000000,15,100000000,200000000,1025041614468
6750,22,0.0387978,674900000000,675100000000,16,100000000,200000000,1025041614468
6973,0,0.0350653,697200000000,697400000000,17,100000000,200000000,1025041614468
6987,14,0.0357529,698600000000,698800000000,18,100000000,200000000,1025041614468
7600,4,0.0620764,759900000000,760100000000,19,100000000,200000000,1025041614468
7712,17,0.0153227,771100000000,771300000000,20,100000000,200000000,1025041614468
7735,26,0.00952755,773400000000,773600000000,21,100000000,200000000,1025041614468
8334,13,0.0475395,833300000000,833500000000,22,100000000,200000000,1025041614468
8416,24,0.0230822,841500000000,841700000000,23,100000000,200000000,1025041614468
8939,3,0.0377173,893800000000,894000000000,24,100000000,200000000,1025041614468
9055,20,0.00589333,905400000000,905600000000,25,100000000,200000000,1025041614468
9131,7,0.0197427,913000000000,913200000000,26,100000000,200000000,1025041614468
9645,10,0.040664,964400000000,964600000000,27,100000000,200000000,1025041614468
9648,16,0.0136529,964700000000,964900000000,28,100000000,200000000,1025041614468
9755,21,0.0138493,975400000000,975600000000,29,100000000,200000000,1025041614468
